"Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species","id","Sepal.Area","Petal.Area","Month","Year","Region","Growth_Rate","Size_Category"
4.9,3.6,1.4,0.1,"setosa",38,17.64,0.14,"Feb",2022,"South",0.79,"Medium"
4.4,3,1.3,0.2,"setosa",39,13.2,0.26,"Mar",2023,"East",1.97,"Small"
5.1,3.4,1.5,0.2,"setosa",40,17.34,0.3,"Jan",2024,"West",1.73,"Medium"
5,3.5,1.3,0.3,"setosa",41,17.5,0.39,"Feb",2020,"North",2.23,"Medium"
4.5,2.3,1.3,0.3,"setosa",42,10.35,0.39,"Mar",2021,"South",3.77,"Small"
4.4,3.2,1.3,0.2,"setosa",43,14.08,0.26,"Jan",2022,"East",1.85,"Small"
5,3.5,1.6,0.6,"setosa",44,17.5,0.96,"Feb",2023,"West",5.49,"Medium"
5.1,3.8,1.9,0.4,"setosa",45,19.38,0.76,"Mar",2024,"North",3.92,"Medium"
4.8,3,1.4,0.3,"setosa",46,14.4,0.42,"Jan",2020,"South",2.92,"Small"
5.1,3.8,1.6,0.2,"setosa",47,19.38,0.32,"Feb",2021,"East",1.65,"Medium"
4.6,3.2,1.4,0.2,"setosa",48,14.72,0.28,"Mar",2022,"West",1.9,"Small"
5.3,3.7,1.5,0.2,"setosa",49,19.61,0.3,"Jan",2023,"North",1.53,"Medium"
5,3.3,1.4,0.2,"setosa",50,16.5,0.28,"Feb",2024,"South",1.7,"Medium"
7,3.2,4.7,1.4,"versicolor",51,22.4,6.58,"Mar",2020,"East",29.37,"Large"
6.4,3.2,4.5,1.5,"versicolor",52,20.48,6.75,"Jan",2021,"West",32.96,"Large"
6.9,3.1,4.9,1.5,"versicolor",53,21.39,7.35,"Feb",2022,"North",34.36,"Large"
5.5,2.3,4,1.3,"versicolor",54,12.65,5.2,"Mar",2023,"South",41.11,"Small"
6.5,2.8,4.6,1.5,"versicolor",55,18.2,6.9,"Jan",2024,"East",37.91,"Medium"
5.7,2.8,4.5,1.3,"versicolor",56,15.96,5.85,"Feb",2020,"West",36.65,"Medium"
6.3,3.3,4.7,1.6,"versicolor",57,20.79,7.52,"Mar",2021,"North",36.17,"Large"
4.9,2.4,3.3,1,"versicolor",58,11.76,3.3,"Jan",2022,"South",28.06,"Small"
6.6,2.9,4.6,1.3,"versicolor",59,19.14,5.98,"Feb",2023,"East",31.24,"Medium"
5.2,2.7,3.9,1.4,"versicolor",60,14.04,5.46,"Mar",2024,"West",38.89,"Small"
5,2,3.5,1,"versicolor",61,10,3.5,"Jan",2020,"North",35,"Small"
5.9,3,4.2,1.5,"versicolor",62,17.7,6.3,"Feb",2021,"South",35.59,"Medium"
6,2.2,4,1,"versicolor",63,13.2,4,"Mar",2022,"East",30.3,"Small"
6.1,2.9,4.7,1.4,"versicolor",64,17.69,6.58,"Jan",2023,"West",37.2,"Medium"
5.6,2.9,3.6,1.3,"versicolor",65,16.24,4.68,"Feb",2024,"North",28.82,"Medium"
6.7,3.1,4.4,1.4,"versicolor",66,20.77,6.16,"Mar",2020,"South",29.66,"Large"
5.6,3,4.5,1.5,"versicolor",67,16.8,6.75,"Jan",2021,"East",40.18,"Medium"
5.8,2.7,4.1,1,"versicolor",68,15.66,4.1,"Feb",2022,"West",26.18,"Medium"
6.2,2.2,4.5,1.5,"versicolor",69,13.64,6.75,"Mar",2023,"North",49.49,"Small"
5.6,2.5,3.9,1.1,"versicolor",70,14,4.29,"Jan",2024,"South",30.64,"Small"
5.9,3.2,4.8,1.8,"versicolor",71,18.88,8.64,"Feb",2020,"East",45.76,"Medium"
6.1,2.8,4,1.3,"versicolor",72,17.08,5.2,"Mar",2021,"West",30.44,"Medium"
6.3,2.5,4.9,1.5,"versicolor",73,15.75,7.35,"Jan",2022,"North",46.67,"Medium"
6.1,2.8,4.7,1.2,"versicolor",74,17.08,5.64,"Feb",2023,"South",33.02,"Medium"
6.4,2.9,4.3,1.3,"versicolor",75,18.56,5.59,"Mar",2024,"East",30.12,"Medium"
6.6,3,4.4,1.4,"versicolor",76,19.8,6.16,"Jan",2020,"West",31.11,"Medium"
6.8,2.8,4.8,1.4,"versicolor",77,19.04,6.72,"Feb",2021,"North",35.29,"Medium"
6.7,3,5,1.7,"versicolor",78,20.1,8.5,"Mar",2022,"South",42.29,"Large"
6,2.9,4.5,1.5,"versicolor",79,17.4,6.75,"Jan",2023,"East",38.79,"Medium"
5.7,2.6,3.5,1,"versicolor",80,14.82,3.5,"Feb",2024,"West",23.62,"Small"
5.5,2.4,3.8,1.1,"versicolor",81,13.2,4.18,"Mar",2020,"North",31.67,"Small"
5.5,2.4,3.7,1,"versicolor",82,13.2,3.7,"Jan",2021,"South",28.03,"Small"
5.8,2.7,3.9,1.2,"versicolor",83,15.66,4.68,"Feb",2022,"East",29.89,"Medium"
6,2.7,5.1,1.6,"versicolor",84,16.2,8.16,"Mar",2023,"West",50.37,"Medium"
5.4,3,4.5,1.5,"versicolor",85,16.2,6.75,"Jan",2024,"North",41.67,"Medium"
6,3.4,4.5,1.6,"versicolor",86,20.4,7.2,"Feb",2020,"South",35.29,"Large"
6.7,3.1,4.7,1.5,"versicolor",87,20.77,7.05,"Mar",2021,"East",33.94,"Large"
6.3,2.3,4.4,1.3,"versicolor",88,14.49,5.72,"Jan",2022,"West",39.48,"Small"
5.6,3,4.1,1.3,"versicolor",89,16.8,5.33,"Feb",2023,"North",31.73,"Medium"
5.5,2.5,4,1.3,"versicolor",90,13.75,5.2,"Mar",2024,"South",37.82,"Small"
5.5,2.6,4.4,1.2,"versicolor",91,14.3,5.28,"Jan",2020,"East",36.92,"Small"
6.1,3,4.6,1.4,"versicolor",92,18.3,6.44,"Feb",2021,"West",35.19,"Medium"
5.8,2.6,4,1.2,"versicolor",93,15.08,4.8,"Mar",2022,"North",31.83,"Medium"
5,2.3,3.3,1,"versicolor",94,11.5,3.3,"Jan",2023,"South",28.7,"Small"
5.6,2.7,4.2,1.3,"versicolor",95,15.12,5.46,"Feb",2024,"East",36.11,"Medium"
5.7,3,4.2,1.2,"versicolor",96,17.1,5.04,"Mar",2020,"West",29.47,"Medium"
5.7,2.9,4.2,1.3,"versicolor",97,16.53,5.46,"Jan",2021,"North",33.03,"Medium"
6.2,2.9,4.3,1.3,"versicolor",98,17.98,5.59,"Feb",2022,"South",31.09,"Medium"
5.1,2.5,3,1.1,"versicolor",99,12.75,3.3,"Mar",2023,"East",25.88,"Small"
5.7,2.8,4.1,1.3,"versicolor",100,15.96,5.33,"Jan",2024,"West",33.4,"Medium"
6.3,3.3,6,2.5,"virginica",101,20.79,15,"Feb",2020,"North",72.15,"Large"
5.8,2.7,5.1,1.9,"virginica",102,15.66,9.69,"Mar",2021,"South",61.88,"Medium"
7.1,3,5.9,2.1,"virginica",103,21.3,12.39,"Jan",2022,"East",58.17,"Large"
6.3,2.9,5.6,1.8,"virginica",104,18.27,10.08,"Feb",2023,"West",55.17,"Medium"
6.5,3,5.8,2.2,"virginica",105,19.5,12.76,"Mar",2024,"North",65.44,"Medium"
7.6,3,6.6,2.1,"virginica",106,22.8,13.86,"Jan",2020,"South",60.79,"Large"
4.9,2.5,4.5,1.7,"virginica",107,12.25,7.65,"Feb",2021,"East",62.45,"Small"
7.3,2.9,6.3,1.8,"virginica",108,21.17,11.34,"Mar",2022,"West",53.57,"Large"
6.7,2.5,5.8,1.8,"virginica",109,16.75,10.44,"Jan",2023,"North",62.33,"Medium"
7.2,3.6,6.1,2.5,"virginica",110,25.92,15.25,"Feb",2024,"South",58.83,"Large"
6.5,3.2,5.1,2,"virginica",111,20.8,10.2,"Mar",2020,"East",49.04,"Large"
6.4,2.7,5.3,1.9,"virginica",112,17.28,10.07,"Jan",2021,"West",58.28,"Medium"
6.8,3,5.5,2.1,"virginica",113,20.4,11.55,"Feb",2022,"North",56.62,"Large"
5.7,2.5,5,2,"virginica",114,14.25,10,"Mar",2023,"South",70.18,"Small"
5.8,2.8,5.1,2.4,"virginica",115,16.24,12.24,"Jan",2024,"East",75.37,"Medium"
6.4,3.2,5.3,2.3,"virginica",116,20.48,12.19,"Feb",2020,"West",59.52,"Large"
6.5,3,5.5,1.8,"virginica",117,19.5,9.9,"Mar",2021,"North",50.77,"Medium"
7.7,3.8,6.7,2.2,"virginica",118,29.26,14.74,"Jan",2022,"South",50.38,"Large"
7.7,2.6,6.9,2.3,"virginica",119,20.02,15.87,"Feb",2023,"East",79.27,"Large"
6,2.2,5,1.5,"virginica",120,13.2,7.5,"Mar",2024,"West",56.82,"Small"
6.9,3.2,5.7,2.3,"virginica",121,22.08,13.11,"Jan",2020,"North",59.37,"Large"
5.6,2.8,4.9,2,"virginica",122,15.68,9.8,"Feb",2021,"South",62.5,"Medium"
7.7,2.8,6.7,2,"virginica",123,21.56,13.4,"Mar",2022,"East",62.15,"Large"
6.3,2.7,4.9,1.8,"virginica",124,17.01,8.82,"Jan",2023,"West",51.85,"Medium"
6.7,3.3,5.7,2.1,"virginica",125,22.11,11.97,"Feb",2024,"North",54.14,"Large"
7.2,3.2,6,1.8,"virginica",126,23.04,10.8,"Mar",2020,"South",46.88,"Large"
6.2,2.8,4.8,1.8,"virginica",127,17.36,8.64,"Jan",2021,"East",49.77,"Medium"
6.1,3,4.9,1.8,"virginica",128,18.3,8.82,"Feb",2022,"West",48.2,"Medium"
6.4,2.8,5.6,2.1,"virginica",129,17.92,11.76,"Mar",2023,"North",65.63,"Medium"
7.2,3,5.8,1.6,"virginica",130,21.6,9.28,"Jan",2024,"South",42.96,"Large"
7.4,2.8,6.1,1.9,"virginica",131,20.72,11.59,"Feb",2020,"East",55.94,"Large"
7.9,3.8,6.4,2,"virginica",132,30.02,12.8,"Mar",2021,"West",42.64,"Large"
6.4,2.8,5.6,2.2,"virginica",133,17.92,12.32,"Jan",2022,"North",68.75,"Medium"
6.3,2.8,5.1,1.5,"virginica",134,17.64,7.65,"Feb",2023,"South",43.37,"Medium"
6.1,2.6,5.6,1.4,"virginica",135,15.86,7.84,"Mar",2024,"East",49.43,"Medium"
7.7,3,6.1,2.3,"virginica",136,23.1,14.03,"Jan",2020,"West",60.74,"Large"
6.3,3.4,5.6,2.4,"virginica",137,21.42,13.44,"Feb",2021,"North",62.75,"Large"
6.4,3.1,5.5,1.8,"virginica",138,19.84,9.9,"Mar",2022,"South",49.9,"Medium"
6,3,4.8,1.8,"virginica",139,18,8.64,"Jan",2023,"East",48,"Medium"
6.9,3.1,5.4,2.1,"virginica",140,21.39,11.34,"Feb",2024,"West",53.02,"Large"
6.7,3.1,5.6,2.4,"virginica",141,20.77,13.44,"Mar",2020,"North",64.71,"Large"
6.9,3.1,5.1,2.3,"virginica",142,21.39,11.73,"Jan",2021,"South",54.84,"Large"
5.8,2.7,5.1,1.9,"virginica",143,15.66,9.69,"Feb",2022,"East",61.88,"Medium"
6.8,3.2,5.9,2.3,"virginica",144,21.76,13.57,"Mar",2023,"West",62.36,"Large"
6.7,3.3,5.7,2.5,"virginica",145,22.11,14.25,"Jan",2024,"North",64.45,"Large"
6.7,3,5.2,2.3,"virginica",146,20.1,11.96,"Feb",2020,"South",59.5,"Large"
6.3,2.5,5,1.9,"virginica",147,15.75,9.5,"Mar",2021,"East",60.32,"Medium"
6.5,3,5.2,2,"virginica",148,19.5,10.4,"Jan",2022,"West",53.33,"Medium"
6.2,3.4,5.4,2.3,"virginica",149,21.08,12.42,"Feb",2023,"North",58.92,"Large"
5.9,3,5.1,1.8,"virginica",150,17.7,9.18,"Mar",2024,"South",51.86,"Medium"
